S.N.	side_dead_layer(mm)		am(data/sim)	pb(data/sim)
1	0.4		0.707 +/- 0.015	1.50 +/- 0.05
2	0.5		0.797 +/- 0.017	1.86 +/- 0.08
3	0.6		0.906 +/- 0.019	2.36 +/- 0.08
4	0.7		1.022 +/- 0.021	3.01 +/- 0.11
5	0.8		1.152 +/- 0.024	3.72 +/- 0.16
6	0.9		1.298 +/- 0.027	4.44 +/- 0.18
7	1		1.473 +/- 0.031	5.34 +/- 0.23
8	0.1		0.481 +/- 0.010	0.722 +/- 0.025
9	0.2		0.546 +/- 0.011	0.929 +/- 0.031
10	0.3		0.622434 +/- 0.000019	1.19 +/- 0.05
