density,am-prob,pb-prob,am(0.958)-diff,pb(0.964)-diff,diff-sum,diff-sum-quad
0.0,0.9795669015462336,0.978017308593874,0.02156690154623364,0.014017308593874067,0.03558421014010771,0.0006616161825208308
0.10204081632653061,0.9786996498682454,0.9768220107071248,0.020699649868245462,0.012822010707124853,0.033521660575370316,0.0005928794632415787
0.20408163265306123,0.9778334898898892,0.9756287897029723,0.0198334898898892,0.01162878970297232,0.03146227959286152,0.0005285960711682922
0.30612244897959184,0.9769684200002541,0.9744376413514425,0.018968420000254116,0.01043764135144254,0.029406061351696655,0.00046874531428738357
0.40816326530612246,0.9761044385910363,0.9732485614320128,0.018104438591036387,0.009248561432012803,0.02735300002304919,0.0004133065852583223
0.5102040816326531,0.9752415440565348,0.9720615457335875,0.017241544056534885,0.008061545733587527,0.025303089790122413,0.0003622593610681567
0.6122448979591837,0.9743797347936485,0.9708765900544767,0.016379734793648515,0.006876590054476717,0.02325632484812523,0.00031558320268758783
0.7142857142857143,0.9735190092018691,0.9696936902023737,0.015519009201869105,0.005693690202373758,0.021212699404242863,0.00027325775472830487
0.8163265306122449,0.9726593656832777,0.9685128419943327,0.014659365683277747,0.0045128419943327724,0.01917220767761052,0.00023526274510187467
0.9183673469387755,0.9718008026425425,0.9673340412567472,0.013800802642542576,0.003334041256747189,0.017134843899289764,0.0002015779846801025
1.0204081632653061,0.9709433184869108,0.9661572838253256,0.012943318486910882,0.002157283825325651,0.015100602312236533,0.00017218336695662068
1.1224489795918369,0.970086911626207,0.9649825655450728,0.012086911626207009,0.000982565545072811,0.01306947717127982,0.0001470588677101024
1.2244897959183674,0.9692315804728268,0.9638098822702644,0.011231580472826797,-0.00019011772973553942,0.011421698202562336,0.000126184544668744
1.3265306122448979,0.9683773234417336,0.9626392298644275,0.010377323441733588,-0.0013607701355724533,0.011738093577306041,0.00010954053717621932
1.4285714285714286,0.9675241389504544,0.9614706042003165,0.009524138950454453,-0.002529395799683476,0.012053534750137929,9.710706585902005e-05
1.5306122448979593,0.9666720254190745,0.9603040011598935,0.008672025419074525,-0.003695998840106518,0.012368024259181043,8.886443229514342e-05
1.6326530612244898,0.9658209812702331,0.959139416634304,0.007820981270233118,-0.004860583365695947,0.012681564635929066,8.479301868421738e-05
1.7346938775510203,0.9649710049291198,0.9579768465238576,0.0069710049291198395,-0.006023153476142351,0.01299415840526219,8.48732875189788e-05
1.836734693877551,0.9641220948234693,0.956816286738004,0.006122094823469371,-0.007183713261995961,0.013305808085465332,8.908578125812711e-05
1.9387755102040818,0.9632742493835579,0.9556577331953136,0.005274249383557916,-0.008342266804686416,0.013616516188244332,9.741112200053396e-05
2.0408163265306123,0.9624274670421982,0.9545011818234532,0.004427467042198208,-0.009498818176546742,0.01392628521874495,0.00010983001116084612
2.142857142857143,0.9615817462347349,0.953346628559167,0.0035817462347349505,-0.010653371440833004,0.014235117675567954,0.00012632322914639426
2.2448979591836737,0.9607370853990419,0.9521940693482536,0.0027370853990419386,-0.011805930651746399,0.014543016050788338,0.00014687163503549372
2.3469387755102042,0.9598934829755154,0.9510435001455448,0.0018934829755153926,-0.012956499854455128,0.01484998282997052,0.00017145616625706238
2.4489795918367347,0.9590509374070719,0.9498949169148849,0.0010509374070719613,-0.014105083085115044,0.015156020492187006,0.00020005783827158166
2.5510204081632653,0.9582094471391426,0.9487483156291077,0.0002094471391426156,-0.015251684370892304,0.01546113151003492,0.00023265774425341562
2.6530612244897958,0.9573690106196693,0.9476036922700171,-0.0006309893803306821,-0.016396307729982906,0.01702729711031359,0.0002692370547743873
2.7551020408163267,0.9565296262991003,0.9464610428283647,-0.001470373700899641,-0.017538957171635228,0.01900933087253487,0.00030977701748875205
2.857142857142857,0.9556912926303861,0.9453203633038287,-0.0023087073696138605,-0.01867963669617123,0.02098834406578509,0.0003542589568194562
2.9591836734693877,0.9548540080689746,0.9441816497049935,-0.0031459919310253825,-0.01981835029500645,0.02296434222603183,0.000402664273645659
3.0612244897959187,0.9540177710728079,0.9430448980493276,-0.003982228927192022,-0.020955101950672406,0.024937330877864428,0.0004549744449916394
3.163265306122449,0.9531825801023167,0.9419101043631626,-0.0048174198976832505,-0.022089895636837387,0.026907315534520637,0.0005111710237169619
3.2653061224489797,0.9523484336204169,0.9407772646816739,-0.005651566379583084,-0.023222735318326082,0.028874301697909166,0.0005712356382078635
3.36734693877551,0.9515153300925049,0.9396463750488574,-0.0064846699074950775,-0.024353624951142572,0.03083829485863765,0.0006351499920700862
3.4693877551020407,0.9506832679864536,0.9385174315175101,-0.007316732013546323,-0.025482568482489865,0.03279930049603619,0.0007028958638228394
3.5714285714285716,0.9498522457726084,0.9373904301492086,-0.008147754227391557,-0.026609569850791326,0.03475732407818288,0.0007744551065941198
3.673469387755102,0.9490222619237818,0.9362653670142892,-0.008977738076218156,-0.027734632985710772,0.03671237106192893,0.0008498096478172533
3.7755102040816326,0.948193314915251,0.9351422381918258,-0.009806685084748912,-0.02885776180817412,0.03866444689292303,0.0009289414889287497
3.8775510204081636,0.947365403224752,0.9340210397696104,-0.010634596775247918,-0.029978960230389595,0.04061355700563751,0.0010118327050673943
3.979591836734694,0.9465385253324763,0.932901767844132,-0.011461474667523674,-0.031098232155867933,0.04255970682339161,0.0010984654447745452
4.081632653061225,0.9457126797210659,0.931784418520556,-0.012287320278934089,-0.03221558147944392,0.04450290175837801,0.001188821929695795
4.183673469387755,0.9448878648756104,0.9306689879127039,-0.013112135124389579,-0.03333101208729605,0.04644314721168563,0.0012828844542837263
