S.N.	side_dead_layer(mm)	am(data/sim)	pb(data/sim)
1	0	0.412 +/- 0.009	0.539 +/- 0.019
2	0.2	0.531 +/- 0.011	0.855 +/- 0.029
3	0.4	0.675 +/- 0.014	1.32 +/- 0.05
4	0.6	0.875 +/- 0.018	2.04 +/- 0.07
5	0.8	1.078 +/- 0.022	3.06 +/- 0.13
6	1	1.346 +/- 0.028	3.79 +/- 0.14
