S.N.	side_dead_layer(mm)	am(data/sim)	pb(data/sim)
1	0	0.406 +/- 0.008	0.556 +/- 0.020
2	0.2	0.515 +/- 0.011	0.849 +/- 0.028
3	0.4	0.670 +/- 0.014	1.38 +/- 0.05
4	0.6	92.8 +/- 2.3	1.97 +/- 0.08
5	0.8	1.065 +/- 0.022	2.93 +/- 0.10
6	1	1.328 +/- 0.028	3.65 +/- 0.14
