S.N.	side_dead_layer(mm)	am(data/sim)	pb(data/sim)
1	0	0.388 +/- 0.008	0.452 +/- 0.015
2	0.2	0.492 +/- 0.010	0.650 +/- 0.023
3	0.4	0.619 +/- 0.013	0.874 +/- 0.029
4	0.6	0.814 +/- 0.017	1.124 +/- 0.037
5	0.8	0.938 +/- 0.020	1.36 +/- 0.05
6	1	1.130 +/- 0.024	1.60 +/- 0.06
