S.N.	side_dead_layer(mm)		am(data/sim)	pb(data/sim)
1	0.1		0.466 +/- 0.010	0.735 +/- 0.026
2	0.2		0.551 +/- 0.011	0.946 +/- 0.032
3	0.3		0.626 +/- 0.013	1.19 +/- 0.04
4	0.4		0.712 +/- 0.015	1.48 +/- 0.05
5	0.5		0.807 +/- 0.017	1.94 +/- 0.07
6	0.6		0.915 +/- 0.019	2.29 +/- 0.08
7	0.7		1.035 +/- 0.022	3.30 +/- 0.12
8	0.8		1.166 +/- 0.024	3.70 +/- 0.14
9	0.9		1.320 +/- 0.028	4.51 +/- 0.18
10	1		1.486 +/- 0.031	5.53 +/- 0.23
