S.N.	side_dead_layer(mm)		am(data/sim)	pb(data/sim)
1	0.4		0.709 +/- 0.015	1.49 +/- 0.05
2	0.5		0.803 +/- 0.017	2.22 +/- 0.08
3	0.6		0.907 +/- 0.019	2.41 +/- 0.09
4	0.7		1.023 +/- 0.021	2.91 +/- 0.10
5	0.8		1.153 +/- 0.024	3.72 +/- 0.14
6	0.9		1.303 +/- 0.027	4.27 +/- 0.15
7	1		1.466 +/- 0.031	5.48 +/- 0.23
8	0.1		0.482 +/- 0.011	0.728 +/- 0.024
9	0.2		0.548 +/- 0.011	0.966 +/- 0.033
10	0.3		0.624 +/- 0.013	1.18 +/- 0.04
