S.N.	side_dead_layer(mm)		am(data/sim)	pb(data/sim)
1	0.1		0.475 +/- 0.010	0.769 +/- 0.028
2	0.2		0.558 +/- 0.012	0.956 +/- 0.034
3	0.3		0.679 +/- 0.014	1.28 +/- 0.05
4	0.4		0.774 +/- 0.016	1.57 +/- 0.05
5	0.5		0.817 +/- 0.017	2.06 +/- 0.08
6	0.6		0.923 +/- 0.019	2.53 +/- 0.11
7	0.7		1.046 +/- 0.022	3.10 +/- 0.12
8	0.8		1.184 +/- 0.025	3.57 +/- 0.14
9	0.9		1.333 +/- 0.028	4.53 +/- 0.16
10	1		1.516 +/- 0.032	5.77 +/- 0.25
