deadlayer(mm)	am(data/sim)	am(error)	pb(data/sim)	pb(error)
1.65	1.91	0.04	1.93	0.07
1.45	1.636	0.034	1.91	0.08
1	1.122	0.024	1.45	0.05
0.75	0.879	0.018	1.34	0.05
0.9	92.8	2.3	1.5	0.1
0.1	0.434	0.009	0.561	0.019
0.2	0.487	0.01	0.63	0.021
0.3	0.548	0.011	0.731	0.025
0.4	0.611	0.013	0.869	0.029
0.5	0.679	0.014	0.977	0.033
0.6	0.758	0.016	1.15	0.05
0.7	0.892	0.019	1.21	0.04
0.8	0.922	0.019	1.36	0.05
