S.N.	topdeadLayer(mm)	am(data/simulation)	am(error)	pb(data/simulation)	pb(error)
1	0.01	0.898	0.02	0.929	0.022
2	0.1	0.985	0.022	1.124	0.027
3	0.12	1.007	0.022	1.195	0.029
4	0.11	0.997	0.022	1.143	0.028
5	0.13	1.018	0.022	1.196	0.036
6	0.05	0.935	0.021	1.006	0.025
7	0.04	0.925	0.02	0.984	0.024
8	0.06	0.946	0.021	1.034	0.025
