deadlayer(mm)	am(data/sim)	am(error)	pb(data/sim)	pb(error)
1.65	1.92	1.92	1.91	0.07
1.45	1.654	0.035	1.88	0.07
1	1.192	0.025	1.55	0.05
0.75	0.893	0.019	1.33	0.04
0.9	1.032	0.022	1.58	0.06
0.85	0.984	0.021	1.4	0.05
0.95	1.077	0.022	1.5	0.06
