S.N.	side_dead_layer(mm)		am(data/sim)	pb(data/sim)
1	0.1		0.481 +/- 0.010	0.742 +/- 0.026
2	0.2		0.547 +/- 0.011	0.980 +/- 0.036
3	0.3		0.631 +/- 0.013	1.23 +/- 0.04
4	0.4		0.715 +/- 0.015	1.60 +/- 0.08
5	0.5		0.813 +/- 0.017	2.17 +/- 0.07
6	0.6		0.945 +/- 0.020	2.31 +/- 0.08
7	0.7		1.039 +/- 0.022	3.26 +/- 0.15
8	0.8		1.182 +/- 0.025	3.68 +/- 0.14
9	0.9		1.326 +/- 0.028	4.62 +/- 0.19
10	1		1.490 +/- 0.031	5.66 +/- 0.21
