S.N.	side_dead_layer(mm)	am(data/sim)	pb(data/sim)
1	0	0.385 +/- 0.008	0.445 +/- 0.015
2	0.2	0.490 +/- 0.010	0.648 +/- 0.022
3	0.4	0.615 +/- 0.013	0.878 +/- 0.030
4	0.6	0.757 +/- 0.016	1.109 +/- 0.037
5	0.8	0.929 +/- 0.019	1.32 +/- 0.04
6	1	1.123 +/- 0.023	1.54 +/- 0.06
